ticker,setup_state,score,last_close,resistance,breakout_pct,breakout_days_ago,pivot_touch_count,resistance_flatness_pct,low_slope_pct_per_day,swing_low_count,ascending_triangle,bb_width_pctile,min_bb_width_pctile_20d,squeeze_recent,breakout_volume_ratio,volume_confirmed,last_complete_week_return_pct,close_vs_52w_high_pct,above_sma50,above_sma200,avg_dollar_volume_20d_m,notes
IVV,fresh_breakout,81.0,761.53,759.09,0.32,9.0,5,3.9,0.0115,5,True,7.1,0.4,True,0.79,False,0.12,-2.75,False,True,5586.71,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
VOO,fresh_breakout,81.0,696.65,694.5,0.31,9.0,5,3.9,0.0117,5,True,7.1,0.4,True,0.91,False,0.11,-2.76,False,True,5138.06,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
SPY,fresh_breakout,81.0,757.83,755.58,0.3,9.0,5,3.87,0.0106,5,True,7.1,0.4,True,0.71,False,0.11,-2.76,False,True,28299.53,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
SCHX,fresh_breakout,81.0,29.86,29.79,0.23,9.0,5,4.19,0.0182,5,True,7.9,0.4,True,0.65,False,0.07,-2.96,False,True,198.09,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
VTI,fresh_breakout,81.0,373.24,372.97,0.07,9.0,5,4.32,0.022,5,True,12.3,0.8,True,0.92,False,0.1,-3.08,False,True,1110.71,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
EWU,testing_resistance,81.0,47.53,47.96,-0.89,9.0,5,3.51,0.0535,7,True,17.5,0.4,True,0.59,False,0.08,-3.77,False,True,45.28,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; testing resistance before breakout; below SMA50
HYG,testing_resistance,80.0,78.62,78.77,-0.18,9.0,7,1.52,0.0201,8,True,35.7,13.9,True,1.04,False,-0.18,-1.15,False,True,2547.58,7 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; testing resistance before breakout; below SMA50; near/new 52-week high
IAK,fresh_breakout,77.0,143.28,135.89,5.44,9.0,4,0.73,0.0481,9,True,14.3,5.2,True,0.43,False,0.33,-5.97,False,True,19.48,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
EWA,near_resistance,75.0,29.08,29.82,-2.48,9.0,5,4.19,0.0506,7,True,18.7,2.8,True,1.16,False,0.77,-4.5,False,True,73.48,5 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; near resistance; below SMA50
VTV,fresh_breakout,73.0,222.36,206.04,7.92,9.0,3,1.48,0.0948,7,True,6.0,1.2,True,0.6,False,0.52,-2.72,False,True,518.45,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility squeeze; fresh breakout; breakout lacks volume confirmation; below SMA50
EWC,fresh_breakout,73.0,60.29,58.57,2.94,9.0,6,1.77,0.0894,8,True,38.1,9.1,True,0.87,False,0.5,-3.86,False,True,113.27,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
MOAT,fresh_breakout,73.0,108.22,107.05,1.09,9.0,7,2.91,0.0146,11,True,75.4,13.9,True,0.6,False,-2.84,-6.37,False,True,57.25,7 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
JEPI,fresh_breakout,73.0,56.26,56.13,0.23,9.0,6,2.68,0.0257,7,True,52.4,9.1,True,1.08,False,-0.34,-2.82,False,True,253.88,6 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; recent volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
XLF,fresh_breakout,72.0,56.87,54.31,4.71,9.0,4,2.9,0.0101,12,True,25.4,3.2,True,0.81,False,0.0,-2.95,False,True,1678.11,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; fresh breakout; breakout lacks volume confirmation; below SMA50
COPX,below_resistance,70.0,88.61,91.91,-3.59,9.0,4,2.52,0.0202,11,True,26.2,22.2,True,0.71,False,-3.98,-11.08,True,True,310.59,4 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression
XLE,extended_breakout,70.0,64.93,59.41,9.29,9.0,3,2.52,0.0282,5,True,31.3,31.3,True,1.01,False,2.2,-1.87,True,True,1672.26,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; breakout already extended; near/new 52-week high; healthy last complete week momentum
XOP,extended_breakout,70.0,195.47,180.5,8.29,9.0,3,0.96,0.0282,5,True,32.1,31.7,True,0.53,False,2.57,-1.39,True,True,511.88,3 separated pivot resistance touches; flat pivot resistance; rising swing lows; valid ascending triangle structure; current volatility compression; breakout already extended; near/new 52-week high; healthy last complete week momentum
